,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.4897,0.5,0.5018,0.0,0.7092,0.6575,0.4897,1.0
TXP,0.8211,0.7504,0.8502,0.5085,0.7122,0.6258,0.6402,0.612
ABP,0.784,0.7002,0.8254,0.4011,0.5875,0.5424,0.5436,0.5413
AIP,0.8573,0.7704,0.9113,0.5428,0.6795,0.6313,0.6345,0.6281
AVP,0.8446,0.6632,0.7687,0.3456,0.4419,0.4342,0.4656,0.4067
ACP,0.8739,0.6015,0.709,0.2413,0.3095,0.3027,0.3733,0.2545
AFP,0.8524,0.5941,0.7517,0.2038,0.2823,0.2844,0.3125,0.2609
DDV,0.9404,0.6465,0.8695,0.3467,0.4333,0.3711,0.45,0.3158
CPP,0.9511,0.6966,0.8387,0.4614,0.4579,0.4792,0.575,0.4107
CCC,0.9736,0.7261,0.9252,0.4779,0.4854,0.4906,0.52,0.4643
APP,0.9775,0.5,0.5363,0.0,0.0223,0.0,0.0,0.0
AAP,0.9853,0.5657,0.6113,0.253,0.1418,0.2105,0.5,0.1333
AHTP,0.9912,0.5,0.4324,0.0,0.0101,0.0,0.0,0.0
PBP,0.9932,0.5,0.6107,0.0,0.0106,0.0,0.0,0.0
QSP,0.9932,0.5,0.7593,0.0,0.0181,0.0,0.0,0.0
