,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.737,0.7373,0.7853,0.4745,0.793,0.736,0.7239,0.7485
TXP,0.8231,0.7422,0.8373,0.5041,0.6982,0.6173,0.6547,0.584
ABP,0.7859,0.673,0.8158,0.3715,0.5906,0.5034,0.5578,0.4587
AIP,0.8573,0.8123,0.9028,0.5826,0.7116,0.6682,0.61,0.7387
AVP,0.8553,0.6557,0.7799,0.3557,0.4722,0.4308,0.5091,0.3733
ACP,0.8788,0.6083,0.756,0.2622,0.3368,0.3187,0.4028,0.2636
AFP,0.8612,0.5839,0.7377,0.1985,0.307,0.268,0.3291,0.2261
DDV,0.9521,0.6362,0.8499,0.4128,0.4337,0.3951,0.6667,0.2807
CPP,0.9521,0.6634,0.8395,0.4338,0.4481,0.4368,0.6129,0.3393
CCC,0.9795,0.7638,0.9342,0.5808,0.5311,0.5882,0.6522,0.5357
APP,0.9775,0.5,0.5849,0.0,0.0277,0.0,0.0,0.0
AAP,0.9863,0.5662,0.6943,0.2942,0.1542,0.2222,0.6667,0.1333
AHTP,0.9902,0.5546,0.6865,0.1885,0.2222,0.1667,0.3333,0.1111
PBP,0.9902,0.4985,0.7859,-0.0045,0.0365,0.0,0.0,0.0
QSP,0.9961,0.7143,0.9566,0.6534,0.7038,0.6,1.0,0.4286
