,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7263,0.7269,0.7848,0.4544,0.799,0.7308,0.705,0.7585
TXP,0.8104,0.7243,0.8299,0.4677,0.6726,0.589,0.6261,0.556
ABP,0.7937,0.718,0.7861,0.433,0.5999,0.5685,0.5628,0.5744
AIP,0.8631,0.7855,0.8839,0.5666,0.6973,0.6517,0.6453,0.6583
AVP,0.8289,0.6486,0.7154,0.3031,0.4052,0.4027,0.4126,0.3933
ACP,0.8592,0.5773,0.7013,0.1764,0.2848,0.25,0.2927,0.2182
AFP,0.8602,0.6251,0.6994,0.2637,0.3324,0.341,0.3627,0.3217
DDV,0.9472,0.6831,0.8224,0.4284,0.4053,0.449,0.5366,0.386
CPP,0.9423,0.6414,0.8033,0.3447,0.3543,0.3656,0.4595,0.3036
CCC,0.9756,0.6751,0.886,0.4469,0.3754,0.4444,0.5882,0.3571
APP,0.9756,0.499,0.4762,-0.0067,0.0254,0.0,0.0,0.0
AAP,0.9863,0.5662,0.6003,0.2942,0.1644,0.2222,0.6667,0.1333
AHTP,0.9892,0.5541,0.7813,0.1618,0.0993,0.1538,0.25,0.1111
PBP,0.9902,0.5695,0.8162,0.1642,0.2052,0.1667,0.2,0.1429
QSP,0.9951,0.6429,0.9073,0.5332,0.7302,0.4444,1.0,0.2857
