,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.6852,0.6896,0.8005,0.4163,0.7954,0.7369,0.6238,0.9002
TXP,0.7937,0.7512,0.8552,0.4766,0.702,0.6128,0.5661,0.668
ABP,0.7791,0.7712,0.8304,0.4858,0.5786,0.6182,0.5229,0.7562
AIP,0.8436,0.8438,0.9092,0.5997,0.6671,0.6774,0.5657,0.8442
AVP,0.8133,0.7139,0.781,0.3728,0.4171,0.4738,0.4038,0.5733
ACP,0.8592,0.6453,0.7214,0.2839,0.2828,0.3628,0.3534,0.3727
AFP,0.8192,0.6057,0.7216,0.191,0.2328,0.2912,0.2603,0.3304
DDV,0.9365,0.7352,0.8856,0.4393,0.3568,0.4715,0.4394,0.5088
CPP,0.9335,0.7209,0.8625,0.4091,0.4227,0.4426,0.4091,0.4821
CCC,0.9648,0.7216,0.8653,0.4034,0.2571,0.4194,0.3824,0.4643
APP,0.9775,0.5,0.3046,0.0,0.0147,0.0,0.0,0.0
AAP,0.9844,0.5652,0.7757,0.2247,0.1923,0.2,0.4,0.1333
AHTP,0.9912,0.5,0.7759,0.0,0.1848,0.0,0.0,0.0
PBP,0.9932,0.5,0.8673,0.0,0.0265,0.0,0.0,0.0
QSP,0.9932,0.5,0.6188,0.0,0.0093,0.0,0.0,0.0
