,ACC,BACC,AUC,MCC,AUPR,F1,Precision,Recall
AMP,0.7146,0.7147,0.788,0.4294,0.7918,0.7126,0.7029,0.7226
TXP,0.8377,0.7654,0.8512,0.5481,0.7167,0.6527,0.6842,0.624
ABP,0.8006,0.7083,0.8323,0.4308,0.6078,0.5584,0.5864,0.5331
AIP,0.8661,0.7777,0.9126,0.5654,0.6996,0.6478,0.6632,0.6332
AVP,0.8514,0.6645,0.7893,0.3591,0.482,0.4412,0.4918,0.4
ACP,0.8583,0.6048,0.728,0.2216,0.2968,0.2995,0.3196,0.2818
AFP,0.8553,0.5502,0.7548,0.1264,0.2523,0.1957,0.2609,0.1565
DDV,0.9462,0.6744,0.8812,0.4127,0.4438,0.433,0.525,0.3684
CPP,0.9453,0.6935,0.8584,0.4247,0.4989,0.451,0.5,0.4107
CCC,0.9775,0.7802,0.9312,0.5704,0.3698,0.5818,0.5926,0.5714
APP,0.9775,0.5,0.5753,0.0,0.0283,0.0,0.0,0.0
AAP,0.9863,0.599,0.7294,0.3413,0.1801,0.3,0.6,0.2
AHTP,0.9912,0.5,0.2666,0.0,0.0055,0.0,0.0,0.0
PBP,0.9932,0.5,0.4831,0.0,0.0062,0.0,0.0,0.0
QSP,0.9932,0.5,0.9135,0.0,0.0596,0.0,0.0,0.0
